season,player_id,position,height_w_shoes,height_w_shoes_ft_in,weight,standing_vertical_leap,max_vertical_leap
2015,1626164,SG,77.75,6' 5.75'',205.8,27.5,34.5
2015,1626161,C,84.5,7' 0.5'',242.4,0.0,0.0
2015,1626192,SG,77.25,6' 5.25'',215.0,37.5,44.0
2015,1626188,PG,74.0,6' 2'',179.0,24.5,31.0
2015,1626149,PF,79.5,6' 7.5'',253.4,0.0,0.0
2015,1626158,PF,81.5,6' 9.5'',242.8,32.5,36.0
2015,1626169,SF,78.5,6' 6.5'',241.8,0.0,0.0
2015,1626145,PG,74.0,6' 2'',184.6,26.5,32.5
2015,1626163,C-PF,84.75,7' 0.75'',231.2,0.0,0.0
2015,1626172,PF,81.25,6' 9.25'',222.4,0.0,0.0
2015,1626168,PF,82.25,6' 10.25'',241.2,0.0,0.0
2015,204456,PG,74.0,6' 2'',187.8,26.0,31.5
2015,1626162,SF-SG,78.75,6' 6.75'',202.8,34.5,37.0
2015,1626166,PG,73.5,6' 1.5'',182.8,29.75,35.5
2015,1626171,PF,82.5,6' 10.5'',246.2,25.0,31.5
2015,1626181,SG,76.25,6' 4.25'',215.4,32.5,40.5
2015,1626184,PG,73.5,6' 1.5'',178.8,33.5,39.5
2015,1626179,PG-SG,74.25,6' 2.25'',190.2,33.0,38.0
2015,1626156,PG-SG,77.0,6' 5'',193.4,0.0,0.0
2015,1626167,C-PF,83.5,6' 11.5'',238.6,0.0,0.0
2015,1626159,SF,78.5,6' 6.5'',221.8,0.0,0.0
2015,1626174,PF,82.5,6' 10.5'',216.0,0.0,0.0
2015,1626153,PG,77.5,6' 5.5'',181.4,29.5,31.0
2017,1628389,PF-C,75.75,6' 9.75'',242.6,33.5,38.5
2017,1628386,C,82.25,6' 10.25'',233.6,31.5,35.5
2017,1628384,SF,79.75,6' 7.75'',232.4,0.0,0.0
2017,1628449,PF,81.5,6' 9.5'',182.2,0.0,0.0
2017,1628396,C,82.75,6' 10.75'',248.8,24.5,27.5
2017,1628415,SG-SF,78.0,6' 6'',220.2,31.0,37.5
2017,1628418,PF-C,82.75,6' 10.75'',247.8,25.5,33.0
2017,1628380,PF-C,84.0,7' 0'',232.2,0.0,0.0
2017,1628381,PF,81.5,6' 9.5'',225.2,33.0,37.5
2017,1628977,SG-SF,77.0,6' 5'',197.4,34.5,44.5
2017,1628416,SG,76.5,6' 4.5'',182.6,30.5,36.0
2017,1628408,SG,78.75,6' 6.75'',200.6,34.0,39.0
2017,1628368,PG,75.25,6' 3.25'',169.6,0.0,0.0
2017,1628365,PG,0.0,0,0.0,0.0,0.0
2017,1628404,SG-SF,77.0,6' 5'',209.2,27.5,35.5
2017,1628382,SF,80.25,6' 8.25'',200.8,29.5,35.5
2017,1628379,SG-SF,77.5,6' 5.5'',196.2,0.0,0.0
2017,1628398,SF-SG,81.5,6' 9.5'',222.6,27.0,34.0
2017,1628378,SG,75.0,6' 3'',211.4,36.5,40.5
2017,1628420,PG,74.5,6' 2.5'',175.2,28.0,33.5
2017,1629004,SG-SF,79.5,6' 7.5'',219.6,27.0,33.0
2017,1628432,SG-SF,77.5,6' 5.5'',206.2,28.5,36.0
2017,1628410,PG,77.75,6' 5.75'',176.4,0.0,0.0
2017,1629021,PF,83.25,6' 11.25'',231.2,25.5,32.5
2017,1628401,PG,76.5,6' 4.5'',189.8,31.0,36.5
2017,1628391,PF,82.5,6' 10.5'',234.4,0.0,0.0
2018,1628960,SG,76.5,6' 4.5'',198.0,32.5,40.5
2018,1628961,PF,82.5,6' 10.5'',194.8,29.5,35.0
2018,1628962,C,84.25,7' 0.25'',273.8,31.0,31.5
2018,1628964,C,84.75,7' 0.75'',225.6,0.0,0.0
2018,1628966,SG-SF,80.5,6' 8.5'',223.8,30.5,35.0
2018,1628971,SG-PG,77.0,6' 5'',194.6,32.5,38.0
2018,1628972,SF,78.75,6' 6.75'',208.0,26.0,33.0
2018,1628973,PG,74.25,6' 2.25'',198.4,29.0,37.0
2018,1628975,PG,73.5,6' 1.5'',196.2,29.0,36.5
2018,1628976,C-PF,82.0,6' 10'',251.4,0.0,0.0
2018,1628978,SG,76.5,6' 4.5'',200.6,34.5,42.0
2018,1628977,SG,78.0,6' 6'',197.0,32.5,40.5
2018,1628981,C,81.75,6' 9.75'',233.2,29.0,35.0
2018,1628983,PG,78.0,6' 6'',180.0,0.0,0.0
2018,1628984,PG,73.5,6' 1.5'',186.4,31.0,37.0
2018,1628988,PG,72.75,6' 0.75'',187.0,25.5,33.0
2018,1628989,SG,79.25,6' 7.25'',194.0,31.0,38.0
2018,1628991,PF-C,83.25,6' 11.25'',236.0,0.0,0.0
2018,1628993,PF,80.0,6' 8'',216.6,25.0,31.0
2018,1628995,SF,81.0,6' 9'',212.6,0.0,0.0
2018,1628997,SF-SG,78.0,6' 6'',195.8,29.0,36.5
2018,1628998,SG-SF,78.0,6' 6'',188.6,29.0,36.5
2018,1629001,SG-PG,75.25,6' 3.25'',193.2,31.0,36.5
2018,1629002,PF-C,81.5,6' 9.5'',219.6,29.5,36.0
2018,1629003,SG-PG,77.5,6' 5.5'',207.2,30.0,33.0
2018,1629004,SG-SF,79.75,6' 7.75'',211.6,30.5,37.0
2018,1629006,SG,76.5,6' 4.5'',210.8,33.0,42.0
2018,1629033,SG-SF,78.75,6' 6.75'',211.2,27.0,34.0
2018,1629008,SF-PF,82.75,6' 10.75'',211.0,0.0,0.0
2018,1629010,SG,77.0,6' 5'',188.4,0.0,0.0
2018,1629012,PG,73.5,6' 1.5'',183.0,0.0,0.0
2018,1629013,PG,77.25,6' 5.25'',188.6,31.0,39.5
2018,1629014,SG-PG,75.25,6' 3.25'',183.2,32.0,41.5
2018,1629018,SG,77.75,6' 5.75'',204.2,33.5,39.5
2018,1629021,C-PF,83.5,6' 11.5'',241.4,27.0,34.0
2018,1629022,SG,76.5,6' 4.5'',196.2,31.5,40.0
2018,1629023,PF,80.0,6' 8'',223.0,27.0,34.0
2018,1629026,SF,79.5,6' 7.5'',200.4,28.0,33.0
2018,1629027,PG,73.75,6' 1.75'',177.8,0.0,0.0
2019,1629638,SG,77.5,6' 5.5'',203.8,0.0,0.0
2019,1629628,SF,0.0,0,0.0,0.0,0.0
2019,1629646,C,82.0,6' 10'',239.0,29.0,33.0
2019,1629647,PF,81.0,6' 9'',208.4,30.5,37.0
2019,1629626,C,86.5,7' 2.5'',208.0,0.0,0.0
2019,1629052,SF-PF,80.0,6' 8'',203.2,34.0,37.5
2019,1629650,C,86.5,7' 2.5'',237.2,27.0,31.0
2019,1629634,SF,80.25,6' 8.25'',207.2,34.0,40.5
2019,1629651,C,83.75,6' 11.75'',216.6,31.5,36.5
2019,1629633,SG,78.75,6' 6.75'',194.2,0.0,0.0
2019,1629056,SG,76.5,6' 4.5'',192.4,29.5,34.0
