person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag,id,full_name
2544,LeBron James,2003,1,1,1,Draft,1610612739,Cleveland,Cavaliers,CLE,Saint Vincent-Saint Mary,High School,1,2544,LeBron James
2738,Andre Iguodala,2004,1,9,9,Draft,1610612755,Philadelphia,76ers,PHI,Arizona,College/University,1,2738,Andre Iguodala
101108,Chris Paul,2005,1,4,4,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK,Wake Forest,College/University,1,101108,Chris Paul
200752,Rudy Gay,2006,1,8,8,Draft,1610612745,Houston,Rockets,HOU,Connecticut,College/University,1,200752,Rudy Gay
200768,Kyle Lowry,2006,1,24,24,Draft,1610612763,Memphis,Grizzlies,MEM,Villanova,College/University,1,200768,Kyle Lowry
200782,P.J. Tucker,2006,2,5,35,Draft,1610612761,Toronto,Raptors,TOR,Texas,College/University,1,200782,P.J. Tucker
201142,Kevin Durant,2007,1,2,2,Draft,1610612760,Seattle,SuperSonics,SEA,Texas,College/University,1,201142,Kevin Durant
201143,Al Horford,2007,1,3,3,Draft,1610612737,Atlanta,Hawks,ATL,Florida,College/University,1,201143,Al Horford
201144,Mike Conley,2007,1,4,4,Draft,1610612763,Memphis,Grizzlies,MEM,Ohio State,College/University,1,201144,Mike Conley
201145,Jeff Green,2007,1,5,5,Draft,1610612738,Boston,Celtics,BOS,Georgetown,College/University,1,201145,Jeff Green
201152,Thaddeus Young,2007,1,12,12,Draft,1610612755,Philadelphia,76ers,PHI,Georgia Tech,College/University,1,201152,Thaddeus Young
201565,Derrick Rose,2008,1,1,1,Draft,1610612741,Chicago,Bulls,CHI,Memphis,College/University,1,201565,Derrick Rose
201566,Russell Westbrook,2008,1,4,4,Draft,1610612760,Oklahoma City,Thunder,OKC,California-Los Angeles,College/University,1,201566,Russell Westbrook
201567,Kevin Love,2008,1,5,5,Draft,1610612763,Memphis,Grizzlies,MEM,California-Los Angeles,College/University,1,201567,Kevin Love
201568,Danilo Gallinari,2008,1,6,6,Draft,1610612752,New York,Knicks,NYK,Olimpia Milano (Italy),Other Team/Club,1,201568,Danilo Gallinari
201569,Eric Gordon,2008,1,7,7,Draft,1610612746,Los Angeles,Clippers,LAC,Indiana,College/University,1,201569,Eric Gordon
201572,Brook Lopez,2008,1,10,10,Draft,1610612751,New Jersey,Nets,NJN,Stanford,College/University,1,201572,Brook Lopez
201577,Robin Lopez,2008,1,15,15,Draft,1610612756,Phoenix,Suns,PHX,Stanford,College/University,1,201577,Robin Lopez
201580,JaVale McGee,2008,1,18,18,Draft,1610612764,Washington,Wizards,WAS,Nevada-Reno,College/University,1,201580,JaVale McGee
201586,Serge Ibaka,2008,1,24,24,Draft,1610612760,Oklahoma City,Thunder,OKC,CB L'Hospitalet (Spain),Other Team/Club,1,201586,Serge Ibaka
201587,Nicolas Batum,2008,1,25,25,Draft,1610612745,Houston,Rockets,HOU,Le Mans Sarthe Basket (France),Other Team/Club,1,201587,Nicolas Batum
201588,George Hill,2008,1,26,26,Draft,1610612759,San Antonio,Spurs,SAS,IUPUI,College/University,1,201588,George Hill
201599,DeAndre Jordan,2008,2,5,35,Draft,1610612746,Los Angeles,Clippers,LAC,Texas A&M,College/University,1,201599,DeAndre Jordan
201609,Goran Dragic,2008,2,15,45,Draft,1610612759,San Antonio,Spurs,SAS,KK Olimpija (Slovenia),Other Team/Club,1,201609,Goran Dragic
201933,Blake Griffin,2009,1,1,1,Draft,1610612746,Los Angeles,Clippers,LAC,Oklahoma,College/University,1,201933,Blake Griffin
201935,James Harden,2009,1,3,3,Draft,1610612760,Oklahoma City,Thunder,OKC,Arizona State,College/University,1,201935,James Harden
201937,Ricky Rubio,2009,1,5,5,Draft,1610612750,Minnesota,Timberwolves,MIN,Joventut Badalona (Spain),Other Team/Club,1,201937,Ricky Rubio
201939,Stephen Curry,2009,1,7,7,Draft,1610612744,Golden State,Warriors,GSW,Davidson,College/University,1,201939,Stephen Curry
201942,DeMar DeRozan,2009,1,9,9,Draft,1610612761,Toronto,Raptors,TOR,Southern California,College/University,1,201942,DeMar DeRozan
201949,James Johnson,2009,1,16,16,Draft,1610612741,Chicago,Bulls,CHI,Wake Forest,College/University,1,201949,James Johnson
201950,Jrue Holiday,2009,1,17,17,Draft,1610612755,Philadelphia,76ers,PHI,California-Los Angeles,College/University,1,201950,Jrue Holiday
201959,Taj Gibson,2009,1,26,26,Draft,1610612741,Chicago,Bulls,CHI,Southern California,College/University,1,201959,Taj Gibson
201976,Patrick Beverley,2009,2,12,42,Draft,1610612747,Los Angeles,Lakers,LAL,BC Dnipro (Ukraine),Other Team/Club,1,201976,Patrick Beverley
201980,Danny Green,2009,2,16,46,Draft,1610612739,Cleveland,Cavaliers,CLE,North Carolina,College/University,1,201980,Danny Green
