Game ID,Game Date,Season,Teams,Result,Season Type
0022201216,2023-04-09,22022,Atlanta Hawks vs Boston Celtics,114 - 120.0,Playoffs
0022201182,2023-04-04,22022,Atlanta Hawks vs Chicago Bulls,123 - 105.0,Playoffs
0022201153,2023-03-31,22022,Atlanta Hawks vs Brooklyn Nets,107 - 124.0,Playoffs
0022201090,2023-03-22,22022,Atlanta Hawks vs Minnesota Timberwolves,124 - 125.0,Playoffs
0022201065,2023-03-19,22022,Atlanta Hawks vs San Antonio Spurs,118 - 126.0,Playoffs
0022200999,2023-03-10,22022,Atlanta Hawks vs Washington Wizards,114 - 107.0,Playoffs
0022200985,2023-03-08,22022,Atlanta Hawks vs Washington Wizards,122 - 120.0,Playoffs
0022200974,2023-03-06,22022,Atlanta Hawks vs Miami Heat,128 - 130.0,Playoffs
0022200958,2023-03-04,22022,Atlanta Hawks vs Miami Heat,109 - 117.0,Playoffs
0022200857,2023-02-13,22022,Atlanta Hawks vs Charlotte Hornets,138 - 144.0,Playoffs
0022200818,2023-02-07,22022,Atlanta Hawks vs New Orleans Pelicans,107 - 116.0,Playoffs
0022200801,2023-02-04,22022,Atlanta Hawks vs Denver Nuggets,108 - 128.0,Playoffs
0022200792,2023-02-03,22022,Atlanta Hawks vs Utah Jazz,115 - 108.0,Playoffs
0022200777,2023-02-01,22022,Atlanta Hawks vs Phoenix Suns,132 - 100.0,Playoffs
0022200763,2023-01-30,22022,Atlanta Hawks vs Portland Trail Blazers,125 - 129.0,Playoffs
0022200725,2023-01-25,22022,Atlanta Hawks vs Oklahoma City Thunder,137 - 132.0,Playoffs
0022200708,2023-01-23,22022,Atlanta Hawks vs Chicago Bulls,100 - 111.0,Playoffs
0022200670,2023-01-18,22022,Atlanta Hawks vs Dallas Mavericks,130 - 122.0,Playoffs
0022200644,2023-01-14,22022,Atlanta Hawks vs Toronto Raptors,114 - 103.0,Playoffs
0022200633,2023-01-13,22022,Atlanta Hawks vs Indiana Pacers,113 - 111.0,Playoffs
0022200604,2023-01-08,22022,Atlanta Hawks vs Los Angeles Clippers,112 - 108.0,Playoffs
0022200590,2023-01-06,22022,Atlanta Hawks vs Los Angeles Lakers,114 - 130.0,Playoffs
