Player ID,Full Name,Status
76001,Alaa Abdelnaby,Inactivo
76002,Zaid Abdul-Aziz,Inactivo
76003,Kareem Abdul-Jabbar,Inactivo
51,Mahmoud Abdul-Rauf,Inactivo
1505,Tariq Abdul-Wahad,Inactivo
949,Shareef Abdur-Rahim,Inactivo
76005,Tom Abernethy,Inactivo
76006,Forest Able,Inactivo
76007,John Abramovic,Inactivo
203518,Alex Abrines,Inactivo
1630173,Precious Achiuwa,Activo
101165,Alex Acker,Inactivo
76008,Donald Ackerman,Inactivo
76009,Mark Acres,Inactivo
76010,Charles Acton,Inactivo
203112,Quincy Acy,Inactivo
76011,Alvan Adams,Inactivo
76012,Don Adams,Inactivo
200801,Hassan Adams,Inactivo
1629121,Jaylen Adams,Inactivo
203919,Jordan Adams,Inactivo
149,Michael Adams,Inactivo
203500,Steven Adams,Activo
912,Rafael Addison,Inactivo
1628389,Bam Adebayo,Activo
1629061,Deng Adel,Inactivo
76015,Rick Adelman,Inactivo
202399,Jeff Adrien,Inactivo
201167,Arron Afflalo,Inactivo
1630534,Ochai Agbaji,Activo
200772,Maurice Ager,Inactivo
76016,Mark Aguirre,Inactivo
201336,Blake Ahearn,Inactivo
76017,Danny Ainge,Inactivo
201582,Alexis Ajinca,Inactivo
76018,Henry Akin,Inactivo
203006,Josh Akognon,Inactivo
1629152,DeVaughn Akoon-Purcell,Inactivo
202374,Solomon Alabi,Inactivo
76019,Mark Alarie,Inactivo
76020,Gary Alcorn,Inactivo
1630583,Santi Aldama,Activo
203128,Furkan Aldemir,Inactivo
202332,Cole Aldrich,Inactivo
200746,LaMarcus Aldridge,Inactivo
76021,Chuck Aleksinas,Inactivo
1626146,Cliff Alexander,Inactivo
724,Cory Alexander,Inactivo
2042,Courtney Alexander,Inactivo
76022,Gary Alexander,Inactivo
201570,Joe Alexander,Inactivo
1629734,Kyle Alexander,Inactivo
1630234,Ty-Shon Alexander,Inactivo
2349,Victor Alexander,Inactivo
1629638,Nickeil Alexander-Walker,Activo
76024,Steve Alford,Inactivo
1628959,Rawle Alkins,Inactivo
76028,Bob Allen,Inactivo
1628960,Grayson Allen,Activo
1628386,Jarrett Allen,Activo
706,Jerome Allen,Inactivo
1628443,Kadeem Allen,Inactivo
202730,Lavoy Allen,Inactivo
76027,Lucius Allen,Inactivo
2124,Malik Allen,Inactivo
76025,Randy Allen,Inactivo
951,Ray Allen,Inactivo
1641851,Timmy Allen,Activo
2754,Tony Allen,Inactivo
76029,Odis Allison,Inactivo
200984,Lance Allred,Inactivo
76030,Darrell Allums,Inactivo
201165,Morris Almond,Inactivo
308,Derrick Alston,Inactivo
1747,Rafer Alston,Inactivo
1824,Peter Aluma,Inactivo
1630631,Jose Alvarado,Activo
680,John Amaechi,Inactivo
732,Ashraf Amaya,Inactivo
202329,Al-Farouq Aminu,Inactivo
200811,Lou Amundson,Inactivo
76034,Bob Anderegg,Inactivo
2365,Chris Andersen,Inactivo
2431,David Andersen,Inactivo
101187,Alan Anderson,Inactivo
202079,Antonio Anderson,Inactivo
76035,Cliff Anderson,Inactivo
76036,Daniel Anderson,Inactivo
1507,Derek Anderson,Inactivo
76037,Dwight Anderson,Inactivo
944,Eric Anderson,Inactivo
246,Greg Anderson,Inactivo
202341,James Anderson,Inactivo
76040,Jerome Anderson,Inactivo
1626147,Justin Anderson,Inactivo
72,Kenny Anderson,Inactivo
76041,Kim Anderson,Inactivo
203937,Kyle Anderson,Activo
76042,Michael Anderson,Inactivo
76043,Mitchell Anderson,Inactivo
98,Nick Anderson,Inactivo
76045,Richard Anderson,Inactivo
76046,Ron Anderson,Inactivo
201583,Ryan Anderson,Inactivo
1000,Shandon Anderson,Inactivo
335,Willie Anderson,Inactivo
76048,Wally Anderzunas,Inactivo
101149,Martynas Andriuskevicius,Inactivo
76049,Don Anielak,Inactivo
1628387,Ike Anigbogu,Inactivo
76050,Michael Ansley,Inactivo
1512,Chris Anstey,Inactivo
203507,Giannis Antetokounmpo,Activo
1628961,Kostas Antetokounmpo,Inactivo
203648,Thanasis Antetokounmpo,Activo
2546,Carmelo Anthony,Inactivo
1630175,Cole Anthony,Activo
21,Greg Anthony,Inactivo
201202,Joel Anthony,Inactivo
203544,Pero Antic,Inactivo
1628384,OG Anunoby,Activo
203951,Keith Appling,Inactivo
2737,Rafael Araujo,Inactivo
76053,Stacey Arceneaux,Inactivo
76054,Nate Archibald,Inactivo
2425,Robert Archibald,Inactivo
1627853,Ryan Arcidiacono,Activo
76055,Jim Ard,Inactivo
2240,Gilbert Arenas,Inactivo
2772,Trevor Ariza,Inactivo
76056,Paul Arizin,Inactivo
76057,Joe Arlauckas,Inactivo
769,B.J. Armstrong,Inactivo
76061,Bob Armstrong,Inactivo
2220,Brandon Armstrong,Inactivo
353,Darrell Armstrong,Inactivo
200756,Hilton Armstrong,Inactivo
76060,Paul Armstrong,Inactivo
76059,Tate Armstrong,Inactivo
76062,Jesse Arnelle,Inactivo
76063,Jay Arnette,Inactivo
76064,Bob Arnzen,Inactivo
2306,Carlos Arroyo,Inactivo
201589,Darrell Arthur,Inactivo
76065,John Arthurs,Inactivo
1628503,Jamel Artis,Inactivo
201600,Omer Asik,Inactivo
355,Vincent Askew,Inactivo
173,Keith Askins,Inactivo
76068,Don Asmonga,Inactivo
76069,Richard Atha,Inactivo
1088,Chucky Atkins,Inactivo
76070,Alvin Attles,Inactivo
76071,Chet Aubuchon,Inactivo
278,Stacey Augmon,Inactivo
201571,D.J. Augustin,Inactivo
200788,James Augustine,Inactivo
1134,Ike Austin,Inactivo
76073,John Austin,Inactivo
76074,Ken Austin,Inactivo
1630166,Deni Avdija,Activo
138,Anthony Avent,Inactivo
76076,William Averitt,Inactivo
1895,William Avery,Inactivo
76078,Dennis Awtrey,Inactivo
1630555,Joel Ayayi,Inactivo
202970,Gustavo Ayon,Inactivo
201965,Jeff Ayres,Inactivo
1629028,Deandre Ayton,Activo
101235,Kelenna Azubuike,Inactivo
1628962,Udoka Azubuike,Activo
203569,Chris Babb,Inactivo
202337,Luke Babbitt,Inactivo
76079,Milos Babic,Inactivo
76080,Johnny Bach,Inactivo
1628407,Dwayne Bacon,Inactivo
1630641,Ibou Badji,Activo
76081,Jim Baechtold,Inactivo
2053,Dalibor Bagaric,Inactivo
76082,John Bagley,Inactivo
1628963,Marvin Bagley III,Activo
1641735,Amari Bailey,Activo
76084,Carl Bailey,Inactivo
76083,Gus Bailey,Inactivo
76085,James Bailey,Inactivo
1847,Thurl Bailey,Inactivo
1753,Toby Bailey,Inactivo
203946,Cameron Bairstow,Inactivo
1858,Mark Baker,Inactivo
2486,Maurice Baker,Inactivo
76089,Norm Baker,Inactivo
1627758,Ron Baker,Inactivo
452,Vin Baker,Inactivo
1627735,Wade Baldwin IV,Inactivo
1631116,Patrick Baldwin Jr.,Activo
200764,Renaldo Balkman,Inactivo
76090,Cedric Ball,Inactivo
1630163,LaMelo Ball,Activo
1628366,Lonzo Ball,Activo
76091,Greg Ballard,Inactivo
76092,Herschel Baltimore,Inactivo
1628964,Mo Bamba,Activo
1631094,Paolo Banchero,Activo
1630217,Desmond Bane,Activo
76093,Gene Banks,Inactivo
2556,Marcus Banks,Inactivo
76094,Ken Bannister,Inactivo
76095,Mike Bantom,Inactivo
1630625,Dalano Banton,Activo
1627760,Cat Barber,Inactivo
76096,John Barber,Inactivo
2571,Leandro Barbosa,Inactivo
76097,Stephen Bardo,Inactivo
200826,J.J. Barea,Inactivo
200745,Andrea Bargnani,Inactivo
76098,Cliff Barker,Inactivo
76099,Tom Barker,Inactivo
787,Charles Barkley,Inactivo
2057,Erick Barkley,Inactivo
76102,Don Barksdale,Inactivo
1631230,Dominick Barlow,Activo
203084,Harrison Barnes,Activo
76103,Harry Barnes,Inactivo
76105,Jim Barnes,Inactivo
76104,Marvin Barnes,Inactivo
2440,Matt Barnes,Inactivo
1630567,Scottie Barnes,Activo
76107,Dick Barnett,Inactivo
76106,Jim Barnett,Inactivo
76108,John Barnhill,Inactivo
76109,Norton Barnhill,Inactivo
76110,Leo Barnhorst,Inactivo
76111,John Barr,Inactivo
76112,Mike Barr,Inactivo
76113,Thomas Barr,Inactivo
2857,Andre Barrett,Inactivo
76114,Ernie Barrett,Inactivo
1629628,RJ Barrett,Activo
2853,Earl Barron,Inactivo
344,Dana Barros,Inactivo
699,Brent Barry,Inactivo
1003,Drew Barry,Inactivo
468,Jon Barry,Inactivo
600013,Rick Barry,Inactivo
76117,Ed Bartels,Inactivo
76118,Vic Bartolome,Inactivo
203115,Will Barton,Inactivo
101188,Eddie Basden,Inactivo
76119,Jerry Baskerville,Inactivo
101138,Brandon Bass,Inactivo
1628238,Paris Bass,Inactivo
76120,Tim Bassett,Inactivo
1629646,Charles Bassey,Activo
1766,Maceo Baston,Inactivo
2370,Mengke Bateer,Inactivo
76121,Billyray Bates,Inactivo
1641734,Emoni Bates,Activo
