team_id,abbreviation,nickname,yearfounded,city,arena,arenacapacity,owner,generalmanager,headcoach
1610612737,ATL,Hawks,1970-01-01 00:00:00.000001949,Atlanta,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Quin Snyder
1610612741,CHI,Bulls,1970-01-01 00:00:00.000001966,Chicago,United Center,21711.0,Michael Reinsdorf,Arturas Karnisovas,Billy Donovan
1610612742,DAL,Mavericks,1970-01-01 00:00:00.000001980,Dallas,American Airlines Center,19200.0,Mark Cuban,Nico Harrison,Jason Kidd
1610612743,DEN,Nuggets,1970-01-01 00:00:00.000001976,Denver,Ball Arena,,Stan Kroenke,Calvin Booth,Michael Malone
1610612744,GSW,Warriors,1970-01-01 00:00:00.000001946,Golden State,Chase Center,,Joe Lacob,Bob Myers,Steve Kerr
1610612745,HOU,Rockets,1970-01-01 00:00:00.000001967,Houston,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Ime Udoka
1610612746,LAC,Clippers,1970-01-01 00:00:00.000001970,Los Angeles,Crypto.com Arena,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue
1610612747,LAL,Lakers,1970-01-01 00:00:00.000001948,Los Angeles,Crypto.com Arena,19060.0,Jeanie Buss,Rob Pelinka,Darvin Ham
1610612748,MIA,Heat,1970-01-01 00:00:00.000001988,Miami,Kaseya Center,19600.0,Micky Arison,Pat Riley,Erik Spoelstra
1610612749,MIL,Bucks,1970-01-01 00:00:00.000001968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Adrian Griffin
1610612750,MIN,Timberwolves,1970-01-01 00:00:00.000001989,Minnesota,Target Center,19356.0,Glen Taylor,Tim Connelly,Chris Finch
1610612751,BKN,Nets,1970-01-01 00:00:00.000001976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Jacque Vaughn
1610612754,IND,Pacers,1970-01-01 00:00:00.000001976,Indiana,Gainbridge Fieldhouse ,18345.0,Herb Simon,Kevin Pritchard,Rick Carlisle
1610612755,PHI,76ers,1970-01-01 00:00:00.000001949,Philadelphia,Wells Fargo Center,,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse
1610612756,PHX,Suns,1970-01-01 00:00:00.000001968,Phoenix,Footprint Center,,Mat Ishbia,James Jones,Frank Vogel
1610612757,POR,Trail Blazers,1970-01-01 00:00:00.000001970,Portland,Moda Center,19980.0,Jody Allen,Joe Cronin,Chauncey Billups
1610612758,SAC,Kings,1970-01-01 00:00:00.000001948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Monte McNair,Mike Brown
1610612759,SAS,Spurs,1970-01-01 00:00:00.000001976,San Antonio,AT&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich
1610612760,OKC,Thunder,1970-01-01 00:00:00.000001967,Oklahoma City,Paycom Center,,Clay Bennett,Sam Presti,Mark Daigneault
1610612761,TOR,Raptors,1970-01-01 00:00:00.000001995,Toronto,Scotiabank Arena,,Lawrence Tanenbaum,Masai Ujiri,
1610612762,UTA,Jazz,1970-01-01 00:00:00.000001974,Utah,Delta Center,,Ryan Smith,Justin Zanik,Will Hardy
1610612763,MEM,Grizzlies,1970-01-01 00:00:00.000001995,Memphis,FedExForum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins
1610612764,WAS,Wizards,1970-01-01 00:00:00.000001961,Washington,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Wes Unseld
1610612765,DET,Pistons,1970-01-01 00:00:00.000001948,Detroit,Little Caesars Arena,,Tom Gores,Ed Stefanski,Monty Williams
1610612766,CHA,Hornets,1970-01-01 00:00:00.000001988,Charlotte,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,Steve Clifford
