TEAM_ID,TEAM_ABBREVIATION,SEASON,SEASON_TYPE,GAMES_PLAYED,WINS,LOSSES,POINTS_SCORED,POINTS_CONCEDED
1610612737,ATL,2015-16,Playoffs,10,4,6,1001,1011
1610612737,ATL,2015-16,Regular Season,82,48,34,8433,8137
1610612737,ATL,2016-17,Playoffs,6,2,4,633,640
1610612737,ATL,2016-17,Regular Season,82,43,39,8459,8529
1610612737,ATL,2017-18,Regular Season,82,24,58,8475,8922
1610612737,ATL,2018-19,Regular Season,82,29,53,9294,9788
1610612737,ATL,2019-20,Regular Season,67,20,47,7488,8022
1610612737,ATL,2020-21,Playoffs,18,10,8,1913,1940
1610612737,ATL,2020-21,Regular Season,72,41,31,8186,8019
1610612737,ATL,2021-22,Playoffs,5,1,4,487,547
1610612737,ATL,2021-22,Regular Season,82,43,39,9343,9215
1610612738,BOS,2015-16,Playoffs,6,2,4,563,603
1610612738,BOS,2015-16,Regular Season,82,48,34,8669,8406
1610612738,BOS,2016-17,Playoffs,18,9,9,1894,1946
1610612738,BOS,2016-17,Regular Season,82,53,29,8857,8641
1610612738,BOS,2017-18,Playoffs,19,11,8,1926,1913
1610612738,BOS,2017-18,Regular Season,82,55,27,8529,8235
1610612738,BOS,2018-19,Playoffs,9,5,4,919,932
1610612738,BOS,2018-19,Regular Season,82,49,33,9216,8852
1610612738,BOS,2019-20,Playoffs,17,10,7,1859,1774
1610612738,BOS,2019-20,Regular Season,72,48,24,8183,7729
1610612738,BOS,2020-21,Playoffs,5,1,4,561,617
1610612738,BOS,2020-21,Regular Season,72,36,36,8109,8004
1610612738,BOS,2021-22,Playoffs,24,14,10,2533,2447
1610612738,BOS,2021-22,Regular Season,82,51,31,9164,8567
1610612739,CLE,2015-16,Playoffs,21,16,5,2200,2019
1610612739,CLE,2015-16,Regular Season,82,57,25,8555,8063
1610612739,CLE,2016-17,Playoffs,18,13,5,2092,1949
1610612739,CLE,2016-17,Regular Season,82,51,31,9048,8787
1610612739,CLE,2017-18,Playoffs,22,12,10,2225,2263
1610612739,CLE,2017-18,Regular Season,82,50,32,9091,9014
1610612739,CLE,2018-19,Regular Season,82,19,63,8567,9355
1610612739,CLE,2019-20,Regular Season,65,19,46,6948,7461
1610612739,CLE,2020-21,Regular Season,72,22,50,7476,8084
1610612739,CLE,2021-22,Regular Season,82,44,38,8839,8665
1610612740,NOP,2015-16,Regular Season,82,30,52,8423,8734
1610612740,NOP,2016-17,Regular Season,82,34,48,8556,8728
1610612740,NOP,2017-18,Playoffs,9,5,4,990,997
1610612740,NOP,2017-18,Regular Season,82,48,34,9161,9054
1610612740,NOP,2018-19,Regular Season,82,33,49,9466,9575
1610612740,NOP,2019-20,Regular Season,72,30,42,8341,8434
1610612740,NOP,2020-21,Regular Season,72,31,41,8251,8272
1610612740,NOP,2021-22,Playoffs,6,2,4,659,668
1610612740,NOP,2021-22,Regular Season,82,36,46,8962,9043
1610612741,CHI,2015-16,Regular Season,82,42,40,8335,8456
1610612741,CHI,2016-17,Playoffs,6,2,4,579,620
1610612741,CHI,2016-17,Regular Season,82,41,41,8435,8400
1610612741,CHI,2017-18,Regular Season,82,27,55,8440,9017
1610612741,CHI,2018-19,Regular Season,82,22,60,8605,9295
1610612741,CHI,2019-20,Regular Season,65,22,43,6945,7145
1610612741,CHI,2020-21,Regular Season,72,31,41,7969,8033
1610612741,CHI,2021-22,Playoffs,5,1,4,476,549
1610612741,CHI,2021-22,Regular Season,82,46,36,9152,9184
1610612742,DAL,2015-16,Playoffs,5,1,4,469,560
1610612742,DAL,2015-16,Regular Season,82,42,40,8388,8413
1610612742,DAL,2016-17,Regular Season,82,33,49,8029,8269
1610612742,DAL,2017-18,Regular Season,82,24,58,8390,8639
1610612742,DAL,2018-19,Regular Season,82,33,49,8927,9032
1610612742,DAL,2019-20,Playoffs,6,2,4,702,760
1610612742,DAL,2019-20,Regular Season,75,43,32,8776,8405
1610612742,DAL,2020-21,Playoffs,7,3,4,742,778
1610612742,DAL,2020-21,Regular Season,72,42,30,8096,7933
1610612742,DAL,2021-22,Playoffs,18,9,9,1914,1901
1610612742,DAL,2021-22,Regular Season,82,52,30,8858,8587
1610612743,DEN,2015-16,Regular Season,82,33,49,8355,8609
1610612743,DEN,2016-17,Regular Season,82,40,42,9161,9119
1610612743,DEN,2017-18,Regular Season,82,46,36,9020,8899
1610612743,DEN,2018-19,Playoffs,14,7,7,1528,1502
1610612743,DEN,2018-19,Regular Season,82,54,28,9075,8751
1610612743,DEN,2019-20,Playoffs,19,9,10,2041,2084
1610612743,DEN,2019-20,Regular Season,73,46,27,8124,7970
1610612743,DEN,2020-21,Playoffs,10,4,6,1148,1203
1610612743,DEN,2020-21,Regular Season,72,47,25,8284,7929
1610612743,DEN,2021-22,Playoffs,5,1,4,550,590
1610612743,DEN,2021-22,Regular Season,82,48,34,9243,9054
1610612744,GSW,2015-16,Playoffs,24,15,9,2585,2480
