year,player_name,salary
2017,Stephen Curry,"$43,199,600"
2017,LeBron James,"$41,459,735"
2017,Paul Millsap,"$38,325,281"
2017,Gordon Hayward,"$37,028,229"
2017,Blake Griffin,"$36,760,431"
2017,Kyle Lowry,"$36,001,633"
2017,Mike Conley,"$35,536,916"
2017,James Harden,"$35,248,928"
2017,Russell Westbrook,"$35,248,928"
2017,DeMar DeRozan,"$34,552,126"
2017,Al Horford,"$34,545,188"
2017,Carmelo Anthony,"$32,688,483"
2017,Damian Lillard,"$32,575,505"
2017,Jrue Holiday,"$31,994,583"
2017,Chris Bosh,"$31,499,746"
2017,Kevin Durant,"$31,139,290"
2017,Otto Porter,"$30,856,857"
2017,Chris Paul,"$30,228,726"
2017,CJ McCollum,"$29,847,101"
2017,Andre Drummond,"$29,614,095"
2017,Hassan Whiteside,"$29,614,095"
2017,Anthony Davis,"$29,614,095"
2017,Bradley Beal,"$29,614,095"
2017,Dwight Howard,"$29,270,933"
2017,Harrison Barnes,"$28,787,656"
2017,Chandler Parsons,"$28,787,656"
2017,JJ Redick,"$28,648,147"
2017,Kevin Love,"$28,202,668"
2017,DeAndre Jordan,"$28,202,668"
2017,Brook Lopez,"$28,202,668"
2017,Marc Gasol,"$28,202,668"
2017,Giannis Antetokounmpo,"$27,990,374"
2017,Steven Adams,"$27,990,374"
2017,Nicolas Batum,"$27,944,129"
2017,LaMarcus Aldridge,"$26,731,225"
2017,Greg Monroe,"$26,635,521"
2017,Rudy Gobert,"$26,436,907"
2017,Victor Oladipo,"$26,157,004"
2017,Danilo Gallinari,"$25,608,453"
2017,Serge Ibaka,"$24,988,320"
2017,George Hill,"$24,911,432"
2017,Ryan Anderson,"$24,386,368"
2017,Paul George,"$24,039,532"
2017,Jeff Teague,"$23,665,861"
2017,Kyrie Irving,"$23,502,225"
2017,Kawhi Leonard,"$23,502,224"
2017,Jimmy Butler,"$23,288,350"
2017,Allen Crabbe,"$23,043,075"
2017,DeMarcus Cousins,"$22,499,819"
2017,John Wall,"$22,499,819"
2017,Enes Kanter,"$22,276,022"
2017,Wesley Matthews,"$22,276,021"
2017,Dwyane Wade,"$22,269,140"
2017,Klay Thompson,"$22,203,746"
2017,Joakim Noah,"$22,127,580"
2017,Kentavious Caldwell-Pope,"$22,103,782"
2017,Luol Deng,"$21,411,376"
2017,Evan Turner,"$21,338,072"
2017,Goran Dragic,"$21,175,278"
2017,Bismack Biyombo,"$21,174,717"
2017,Evan Fournier,"$21,174,717"
2017,Kent Bazemore,"$21,062,755"
